Feature,Importance
D10,0.5910379007474296
D21,0.11001350185447975
D1,0.10202574460537765
D2,0.04379530071563531
D16,0.042481253138435225
D19,0.04121842495543968
D8,0.017845581349043543
D4,0.015196927672960025
D20,0.009148815256332599
D15,0.006352857475797495
D32,0.004557548918222083
D34,0.003751262358345968
D24,0.003417628106575955
D27,0.002530193900845383
D9,0.002272266501381604
D33,0.0014515286641843576
D18,0.0010236570420455123
D12,0.0009246444251088853
D26,0.0004293040619820492
D31,0.0002083641816762452
D6,0.00018674540736315722
D25,0.00013054866133785137
